move_id,total_distance,total_duration,rank_by_distance,rank_by_duration
229,9006.749600982901,0 days 00:06:34,1,42
369,8758.42511657045,0 days 00:02:59,2,316
435,8270.759089553694,0 days 00:03:41,3,114
401,7968.7216370878605,0 days 00:04:19,4,84
485,7123.410335757616,0 days 00:34:24,5,4
445,7103.41646026315,0 days 00:07:00,6,33
365,6879.075919637074,0 days 00:05:46,7,56
374,5643.161858950848,0 days 00:03:35,8,123
368,5614.372110926987,0 days 00:02:54,9,333
502,5264.641140949918,0 days 00:14:40,10,14
423,5224.529397947605,0 days 00:05:55,11,53
373,5186.481713763685,0 days 00:04:15,12,87
366,4967.926658964876,0 days 00:03:02,13,300
109,4193.4724999078835,0 days 00:06:11,14,45
375,3678.064699984848,0 days 00:03:22,15,137
237,3649.551815616703,0 days 00:04:04,16,94
282,3646.815320144773,0 days 00:04:37,17,72
225,3562.0480469511153,0 days 00:02:36,18,381
545,3310.7122995035415,0 days 00:02:59,19,316
183,3305.4505930039204,0 days 00:02:50,20,347
580,3261.9008831798587,0 days 00:02:42,21,372
318,3162.183388655847,0 days 00:06:54,22,36
494,3110.6979597532227,0 days 00:04:34,23,74
130,3084.3931876342413,0 days 00:04:14,24,90
501,3076.2497760133115,0 days 00:05:29,25,62
139,3071.3313990146457,0 days 00:04:15,26,87
570,3030.792201593367,0 days 00:02:54,27,333
533,2854.7844397377,0 days 00:19:58,28,11
492,2578.21355236184,0 days 00:04:38,29,71
546,2544.681757166081,0 days 00:03:11,30,200
316,2421.322636401638,0 days 00:05:30,31,61
500,2358.4910000641808,0 days 00:03:32,32,127
447,2338.282283755761,0 days 00:12:10,33,19
544,2261.8202293411273,0 days 00:03:09,34,226
205,2235.013318940303,0 days 00:02:50,35,347
572,2136.9206244368715,0 days 00:02:51,36,346
483,2133.4131292736115,0 days 00:17:54,37,12
578,2106.154682973392,0 days 00:02:52,38,341
238,2078.7088551081797,0 days 00:04:33,39,76
553,2038.5097972473602,0 days 00:03:07,40,251
239,2025.2024699989074,0 days 00:14:14,41,15
543,1927.0903825279063,0 days 00:03:09,42,226
263,1901.97646234109,0 days 00:11:39,43,22
451,1863.814493403522,0 days 00:08:23,44,28
574,1843.165136220253,0 days 00:02:47,45,358
296,1826.5874264319184,0 days 00:03:46,46,107
571,1751.932139058757,0 days 00:02:46,47,361
246,1743.0202533664549,0 days 00:02:22,48,419
557,1737.9359424754043,0 days 00:03:14,49,161
357,1672.160498735881,0 days 00:03:16,50,150
569,1670.1878869671775,0 days 00:02:49,51,349
231,1669.6590766971974,0 days 00:03:52,52,97
219,1668.6770337359385,0 days 00:02:49,53,349
120,1658.3898544871445,0 days 00:03:50,54,101
568,1642.6810568564238,0 days 00:02:45,55,364
552,1590.6483331938477,0 days 00:03:10,56,211
503,1577.9476095756172,0 days 00:11:43,57,20
579,1576.3294999335137,0 days 00:02:48,58,353
547,1532.531316187352,0 days 00:03:13,59,176
314,1524.9830260778517,0 days 00:03:42,60,113
449,1446.5586873658283,0 days 00:03:46,61,107
573,1443.0243828703171,0 days 00:02:44,62,365
554,1374.0318295986233,0 days 00:03:09,63,226
148,1352.3128839166272,0 days 00:03:47,64,105
288,1345.4471096081415,0 days 00:03:20,65,141
465,1338.624098674628,0 days 00:04:22,66,82
408,1324.1054710907936,0 days 00:04:18,67,85
230,1321.4039656021478,0 days 00:03:32,68,127
410,1320.4292330512067,0 days 00:03:48,69,102
535,1310.2176478253507,0 days 00:03:10,70,211
195,1307.8318035123507,0 days 00:02:44,71,365
280,1305.2067588722416,0 days 00:02:30,72,392
469,1298.2488663629747,0 days 00:04:47,73,68
470,1292.191081481615,0 days 00:07:03,74,32
496,1275.662804657736,0 days 00:04:07,75,92
576,1273.6150806314415,0 days 00:02:58,76,322
367,1263.7144073568563,0 days 00:03:05,77,274
427,1257.4044855184934,0 days 00:03:36,78,120
194,1240.415392154492,0 days 00:02:55,79,332
542,1219.0402427887536,0 days 00:03:11,80,200
204,1205.0230331964765,0 days 00:02:58,81,322
461,1202.7784999239009,0 days 00:03:38,82,117
114,1171.5597813714896,0 days 00:06:39,83,40
462,1163.538907153801,0 days 00:03:03,84,293
234,1158.6617121545924,0 days 00:05:55,85,53
457,1153.1630036290705,0 days 00:03:51,86,99
575,1141.3258349399098,0 days 00:02:41,87,375
196,1141.0464239217401,0 days 00:03:01,88,305
138,1128.01643458047,0 days 00:02:41,89,375
167,1108.9964725221464,0 days 00:02:43,90,368
92,1107.6062677056007,0 days 00:02:15,91,511
534,1106.9112952829944,0 days 00:03:10,92,211
165,1106.7260483214036,0 days 00:02:32,93,388
248,1101.7573652571266,0 days 00:04:55,94,65
226,1090.4304812382807,0 days 00:03:01,95,305
541,1085.6489530215424,0 days 00:03:11,96,200
144,1083.8356882909286,0 days 00:03:06,97,263
559,1076.3524396359035,0 days 00:03:00,98,310
228,1051.920076107753,0 days 00:03:15,99,156
207,1030.1164200114774,0 days 00:01:38,100,534
531,1007.7199130436607,0 days 00:15:30,101,13
110,1007.5943006155469,0 days 00:06:57,102,34
551,1004.7430360029492,0 days 00:03:07,103,251
91,986.3924848354809,0 days 00:02:20,104,430
203,985.3704000696026,0 days 00:02:43,105,368
471,950.7779505159591,0 days 00:06:07,106,47
429,948.6253887242774,0 days 00:03:01,107,305
115,931.3217334987141,0 days 00:08:45,108,27
442,926.7912012992457,0 days 00:43:02,109,3
466,922.5725742763368,0 days 00:04:24,110,81
283,905.6528197589183,0 days 00:03:17,111,146
317,886.4813972718636,0 days 00:03:12,112,192
444,874.5123907824373,0 days 00:24:42,113,8
464,873.8811726288995,0 days 00:03:20,114,141
432,868.3653572329481,0 days 00:03:30,115,130
293,857.6783125079432,0 days 00:03:07,116,251
441,835.0087643119944,0 days 00:25:39,117,7
376,831.4157158239884,0 days 00:03:21,118,139
55,829.9104589170571,0 days 00:02:28,119,400
287,825.9997542427839,0 days 00:03:29,120,131
581,818.8979528739928,0 days 00:03:24,121,136
33,818.3433176616289,0 days 00:02:14,122,521
491,801.5227986422541,0 days 00:03:04,123,281
54,790.1900829472382,0 days 00:02:16,124,502
315,785.1426944987647,0 days 00:09:14,125,24
556,783.9260240316584,0 days 00:03:08,126,241
389,780.4021977321664,0 days 00:03:11,127,200
463,779.3572101034351,0 days 00:03:07,128,251
493,778.8579186898959,0 days 00:03:35,129,123
178,769.0501527700313,0 days 00:02:39,130,379
214,763.9075479049407,0 days 00:03:09,131,226
397,754.6069332548489,0 days 00:03:15,132,156
218,749.6924146744241,0 days 00:02:27,133,401
302,745.9343906205819,0 days 00:03:17,134,146
558,745.7499399415536,0 days 00:03:06,135,263
306,744.8300111424929,0 days 00:03:12,136,192
484,743.226327324743,0 days 00:32:06,137,5
200,740.7883750322718,0 days 00:02:43,138,368
123,737.66628615915,0 days 00:03:00,139,310
452,732.7953183856323,0 days 00:03:06,140,263
206,727.4320331715221,0 days 00:02:52,141,341
419,720.6183737493287,0 days 00:03:32,142,127
182,719.7989194187485,0 days 00:03:26,143,133
202,717.4361921981911,0 days 00:02:27,144,401
41,715.5135877585109,0 days 00:03:48,145,102
101,710.9122543330516,0 days 00:02:56,146,327
437,710.0491986469332,0 days 00:03:13,147,176
511,708.6995595298832,0 days 00:13:11,148,17
198,705.4839909137846,0 days 00:03:03,149,293
499,704.3304076241272,0 days 00:03:36,150,120
399,701.3539984591374,0 days 00:03:25,151,135
177,692.2866967196097,0 days 00:02:46,152,361
417,689.730358807597,0 days 00:03:10,153,211
497,687.2071347439361,0 days 00:03:17,154,146
126,686.1868106226251,0 days 00:03:15,155,156
93,683.4339649774798,0 days 00:03:04,156,281
60,683.4255134127538,0 days 00:03:11,157,200
199,681.3892973280134,0 days 00:02:30,158,392
180,680.35292595892,0 days 00:03:39,159,115
407,675.4812679786617,0 days 00:04:28,160,80
29,673.3641847629442,0 days 00:02:59,161,316
107,671.2622887368256,0 days 00:02:16,162,502
