stop_id,total_time_spent,label
590_2019-10-25 17:37:39,11 days 22:04:00,Home
254_2019-10-22 18:04:31,1 days 04:10:39,Work
269_2019-10-22 22:08:44,0 days 22:11:06,
270_2019-10-22 22:58:48,0 days 19:49:30,
271_2019-10-22 23:45:33,0 days 18:27:55,
272_2019-10-23 00:30:49,0 days 17:21:36,
273_2019-10-23 01:15:36,0 days 17:05:48,
255_2019-10-22 18:48:47,0 days 17:04:06,
274_2019-10-23 02:00:58,0 days 16:51:38,
276_2019-10-23 03:31:23,0 days 15:59:20,
268_2019-10-22 21:35:42,0 days 15:13:16,
275_2019-10-23 02:47:59,0 days 14:55:39,
249_2019-10-22 17:06:58,0 days 14:54:36,
277_2019-10-23 04:20:23,0 days 14:09:18,
278_2019-10-23 05:05:50,0 days 13:51:18,
77_2019-10-21 18:19:00,0 days 13:45:56,
279_2019-10-23 05:52:46,0 days 12:32:32,
472_2019-10-23 21:55:46,0 days 10:24:45,
473_2019-10-23 22:38:47,0 days 10:19:16,
280_2019-10-23 06:37:45,0 days 10:18:31,
474_2019-10-23 23:23:23,0 days 09:25:56,
78_2019-10-21 21:08:52,0 days 09:07:24,
475_2019-10-24 00:07:57,0 days 09:03:48,
262_2019-10-22 20:18:32,0 days 09:00:39,
79_2019-10-21 21:55:13,0 days 08:38:17,
476_2019-10-24 00:54:02,0 days 08:05:17,
80_2019-10-21 22:43:22,0 days 07:49:40,
477_2019-10-24 01:38:53,0 days 07:05:20,
81_2019-10-21 23:31:05,0 days 06:58:48,
441_2019-10-23 17:08:37,0 days 06:57:54,
82_2019-10-22 00:18:41,0 days 06:48:56,
443_2019-10-23 18:39:31,0 days 06:48:18,
266_2019-10-22 21:06:47,0 days 06:38:00,
442_2019-10-23 17:55:35,0 days 06:35:50,
478_2019-10-24 02:22:00,0 days 06:30:00,
250_2019-10-22 17:34:55,0 days 06:26:46,
264_2019-10-22 20:47:55,0 days 06:21:49,
441_2019-10-23 16:50:45,0 days 05:53:50,
83_2019-10-22 01:10:34,0 days 05:53:30,
479_2019-10-24 03:06:06,0 days 05:45:12,
257_2019-10-22 19:30:53,0 days 05:34:48,
267_2019-10-22 21:24:41,0 days 05:17:33,
0_2019-10-21 13:45:24,0 days 05:16:39,
248_2019-10-22 16:58:56,0 days 05:08:42,
480_2019-10-24 03:50:27,0 days 05:06:57,
253_2019-10-22 17:54:41,0 days 04:44:00,
442_2019-10-23 17:40:23,0 days 04:32:00,
84_2019-10-22 02:01:59,0 days 04:23:24,
256_2019-10-22 19:22:11,0 days 04:22:05,
440_2019-10-23 16:29:57,0 days 04:17:36,
258_2019-10-22 19:43:23,0 days 04:17:15,
260_2019-10-22 19:57:04,0 days 04:00:16,
85_2019-10-22 02:46:38,0 days 03:56:40,
440_2019-10-23 16:42:00,0 days 03:04:46,
86_2019-10-22 03:35:02,0 days 03:00:48,
481_2019-10-24 04:35:11,0 days 02:57:30,
444_2019-10-23 19:02:52,0 days 02:52:33,
471_2019-10-23 21:46:06,0 days 02:23:12,
503_2019-10-24 11:31:46,0 days 02:16:58,
87_2019-10-22 04:21:27,0 days 02:10:54,
67_2019-10-21 17:25:48,0 days 02:07:24,
88_2019-10-22 05:06:08,0 days 01:35:08,
483_2019-10-24 06:23:52,0 days 01:34:12,
184_2019-10-22 12:41:52,0 days 01:31:40,
486_2019-10-24 08:07:37,0 days 01:28:08,
482_2019-10-24 05:47:30,0 days 01:22:05,
23_2019-10-21 15:14:54,0 days 01:17:20,
484_2019-10-24 06:49:37,0 days 01:09:36,
514_2019-10-24 13:14:51,0 days 01:00:48,
504_2019-10-24 11:51:48,0 days 00:56:48,
505_2019-10-24 12:01:20,0 days 00:49:25,
89_2019-10-22 05:54:28,0 days 00:46:40,
487_2019-10-24 08:53:04,0 days 00:43:35,
513_2019-10-24 13:01:53,0 days 00:38:42,
207_2019-10-22 14:06:36,0 days 00:36:24,
444_2019-10-23 19:18:47,0 days 00:34:42,
443_2019-10-23 18:18:20,0 days 00:34:27,
113_2019-10-22 09:03:54,0 days 00:33:45,
509_2019-10-24 12:22:28,0 days 00:32:08,
482_2019-10-24 05:24:42,0 days 00:21:54,
65_2019-10-21 17:12:38,0 days 00:21:45,
208_2019-10-22 14:19:26,0 days 00:21:22,
239_2019-10-22 16:05:17,0 days 00:11:26,
528_2019-10-24 15:30:18,0 days 00:08:45,
111_2019-10-22 08:27:33,0 days 00:08:27,
