stop_id_1,stop_id_2,centroid_distance,bbox_intersection
0_2019-10-21 13:45:24,23_2019-10-21 15:14:54,9.767880922182424e-05,True
0_2019-10-21 13:45:24,503_2019-10-24 11:31:46,0.0002591218269601894,True
0_2019-10-21 13:45:24,504_2019-10-24 11:51:48,0.00036343360346513656,True
0_2019-10-21 13:45:24,505_2019-10-24 12:01:20,0.0002758880681584145,True
0_2019-10-21 13:45:24,509_2019-10-24 12:22:28,0.00010009548343749998,True
0_2019-10-21 13:45:24,513_2019-10-24 13:01:53,0.0002941106466571368,True
0_2019-10-21 13:45:24,514_2019-10-24 13:14:51,0.00010440943927651117,True
0_2019-10-21 13:45:24,528_2019-10-24 15:30:18,0.0001877642458759314,True
0_2019-10-21 13:45:24,529_2019-10-24 15:39:40,0.0003483481225624314,True
111_2019-10-22 08:27:33,112_2019-10-22 08:45:40,4.27457491654804e-14,True
113_2019-10-22 09:03:54,184_2019-10-22 12:41:52,1.350389051359467e-13,True
113_2019-10-22 09:03:54,207_2019-10-22 14:06:36,4.986471270604724e-14,True
113_2019-10-22 09:03:54,208_2019-10-22 14:19:26,4.986471270604724e-14,True
113_2019-10-22 09:03:54,239_2019-10-22 16:05:17,4.9835041335008945e-14,True
113_2019-10-22 09:03:54,245_2019-10-22 16:31:25,8.543149943144392e-14,True
184_2019-10-22 12:41:52,207_2019-10-22 14:06:36,8.526628476568654e-14,True
184_2019-10-22 12:41:52,208_2019-10-22 14:19:26,8.526628476568654e-14,True
184_2019-10-22 12:41:52,239_2019-10-22 16:05:17,8.526512829121202e-14,True
184_2019-10-22 12:41:52,245_2019-10-22 16:31:25,4.978753036083156e-14,True
207_2019-10-22 14:06:36,208_2019-10-22 14:19:26,0.0,True
207_2019-10-22 14:06:36,239_2019-10-22 16:05:17,4.440892098500626e-16,True
207_2019-10-22 14:06:36,245_2019-10-22 16:31:25,3.557151798805476e-14,True
208_2019-10-22 14:19:26,239_2019-10-22 16:05:17,4.440892098500626e-16,True
208_2019-10-22 14:19:26,245_2019-10-22 16:31:25,3.557151798805476e-14,True
23_2019-10-21 15:14:54,503_2019-10-24 11:31:46,0.00016756465404653846,True
23_2019-10-21 15:14:54,504_2019-10-24 11:51:48,0.000266096472835051,True
23_2019-10-21 15:14:54,505_2019-10-24 12:01:20,0.0001820465735725358,True
23_2019-10-21 15:14:54,509_2019-10-24 12:22:28,3.080107971641369e-05,True
23_2019-10-21 15:14:54,513_2019-10-24 13:01:53,0.00022558947650259657,True
23_2019-10-21 15:14:54,514_2019-10-24 13:14:51,9.9950176971033e-05,True
23_2019-10-21 15:14:54,528_2019-10-24 15:30:18,9.021614017143818e-05,True
23_2019-10-21 15:14:54,529_2019-10-24 15:39:40,0.00025160362197862104,True
239_2019-10-22 16:05:17,245_2019-10-22 16:31:25,3.5596458096434965e-14,True
248_2019-10-22 16:58:56,249_2019-10-22 17:06:58,0.00037451064105459167,True
