traj_id,centroid,start_time,end_time,duration,max_distance_bbox
0_2019-10-21 13:45:24,0101000020E6100000907C6B0457300140984F678A11684840,2019-10-21 13:45:40,2019-10-21 14:20:51,0 days 00:35:11,0.00021838984027914603
111_2019-10-22 08:27:33,0101000020E6100000DD6E48C41034014094350B3043684840,2019-10-22 08:27:44,2019-10-22 08:36:11,0 days 00:08:27,1.5700923052863333e-15
112_2019-10-22 08:45:40,0101000020E6100000D66E48C4103401408E350B3043684840,2019-10-22 08:45:51,2019-10-22 08:55:56,0 days 00:10:05,2.6377552022926982e-14
113_2019-10-22 09:03:54,0101000020E61000007A35F591C622014088113E6B29684840,2019-10-22 09:04:35,2019-10-22 09:11:20,0 days 00:06:45,3.454203339378193e-15
184_2019-10-22 12:41:52,0101000020E61000007335F591C622014075113E6B29684840,2019-10-22 12:42:04,2019-10-22 13:04:59,0 days 00:22:55,9.671769104823033e-14
207_2019-10-22 14:06:36,0101000020E61000007235F591C622014081113E6B29684840,2019-10-22 14:06:47,2019-10-22 14:18:55,0 days 00:12:08,3.611212480657406e-14
208_2019-10-22 14:19:26,0101000020E61000007235F591C622014081113E6B29684840,2019-10-22 14:19:37,2019-10-22 14:30:18,0 days 00:10:41,3.611212480657406e-14
23_2019-10-21 15:14:54,0101000020E6100000188E0A20483001405326629A14684840,2019-10-21 15:14:55,2019-10-21 15:24:35,0 days 00:09:40,0.00036198499192435346
239_2019-10-22 16:05:17,0101000020E61000007335F591C622014081113E6B29684840,2019-10-22 16:05:37,2019-10-22 16:17:03,0 days 00:11:26,3.642614331225603e-14
245_2019-10-22 16:31:25,0101000020E61000006E35F591C62201407C113E6B29684840,2019-10-22 16:31:39,2019-10-22 16:44:38,0 days 00:12:59,5.997752900716879e-14
248_2019-10-22 16:58:56,0101000020E6100000F615914AE633014057BE766081674840,2019-10-22 16:59:15,2019-10-22 17:06:36,0 days 00:07:21,2.5015620423101573e-05
249_2019-10-22 17:06:58,0101000020E6100000E9EACE714F3301405F4A598579674840,2019-10-22 17:07:21,2019-10-22 17:28:39,0 days 00:21:18,0.0005279088956570979
250_2019-10-22 17:34:55,0101000020E6100000B9E8BFB1A63301400EC6F6F079674840,2019-10-22 17:34:57,2019-10-22 17:44:23,0 days 00:09:26,0.0005047207019480155
253_2019-10-22 17:54:41,0101000020E610000022A10DA8AC330140EB5A5A927B674840,2019-10-22 17:54:43,2019-10-22 18:01:49,0 days 00:07:06,0.00038175868850020823
254_2019-10-22 18:04:31,0101000020E61000009FF7CB3B8F3301402454D3A583674840,2019-10-22 18:05:02,2019-10-22 18:48:23,0 days 00:43:21,0.00046422406311198233
